,Revenue Growth,Gross Profit Growth,Net Income Growth,Operating Income,Revenue,Gross Profit,Gross Profit Ratio,operating Income Ratio,Net Income,Net Income Ratio,Stock price,Number of Shares,Market Capitalization,Price/Sales,Stock Price QoQ change,Revenue YoY,Gross Profit YoY,Net Income YoY,Stock Price SPY,Stock price QQQ,SPY Stock Price QoQ change,QQQ Stock Price QoQ change
50,2.878330496,0,0.279684719,20300000,302400000,102300000,33.8294,6.713,15700000,5.1918,3.2771,468700000,1535976770,1.269822065,-13.23766911,9.090909091,-5.189990732,5.369127517,147.1000061,51.56999969,-3.761857881,0.058204848
51,-1.138830563,0,-38.49882721,21700000,294000000,99500000,33.8435,7.381,15600000,5.3061,3.7771,476600000,1800165860,1.530753282,52.03880369,14.84375,2.366255144,21.875,152.8500061,51.54000092,1.292254663,7.869406095
52,0.882690848,0,159.3268451,38400000,303700000,107000000,35.2321,12.6441,25500000,8.3964,2.4843,489200000,1215319560,1.000427692,-21.55915506,26.8588137,20.4954955,50,150.8999939,47.77999878,6.088293074,9.6877807
53,-56.92825647,-100,-76.59008923,11400000,305300000,110300000,36.1284,3.734,9800000,3.21,3.1671,494700000,1566764370,1.282971151,-3.315321916,36.23382419,45.32279315,122.7272727,142.2400055,43.56000137,0.126712613,0.856686174
54,4509.653768,-977.448694,3238.827258,18700000,277200000,107900000,38.925,6.746,14900000,5.3752,3.2757,494700000,1620488790,1.461479789,-17.8425422,43.62694301,50.27855153,-60.9947644,142.0599976,43.18999863,6.173388878,5.599014708
55,-39.50221784,-127.0348654,-1.40625,17100000,256000000,97200000,37.9688,6.6797,12800000,5,3.9871,492400000,1963248040,1.917234414,33.85818841,48.23393167,70.22767075,85.50724638,133.8000031,40.90000153,4.908265714,4.550109005
56,-89.05203521,0,-70.93551317,23900000,239400000,88800000,37.0927,9.9833,17000000,7.1011,2.9786,484200000,1442238120,1.506096617,-29.65543301,45.97560976,92.20779221,198.245614,127.5400009,39.11999893,-1.907401381,-7.144557465
57,-45.53946291,-100,-32.37100737,4800000,224100000,75900000,33.8688,2.1419,4400000,1.9634,4.2343,465200000,1969796360,2.197452432,7.390499379,47.04724409,83.77723971,-150,130.0200043,42.13000107,4.182693184,3.922052582
58,56.17696495,64.62857143,-6.248200403,2800000,193000000,71800000,37.2021,1.4508,38200000,19.7927,3.9429,468700000,1848037230,2.393830609,5.02357297,39.5516992,54.40860215,582.1428571,124.8000031,40.54000092,1.777850478,3.49758185
59,5.969713733,17.2374038,22.20267417,5500000,172700000,57100000,33.0631,3.1847,6900000,3.9954,3.7543,462100000,1734862030,2.511381051,41.59689221,21.96327684,3.818181818,-63.49206349,122.6200027,39.16999817,1.996341292,5.465801865
60,6.719216297,8.50477559,-164.488314,4500000,164000000,46200000,28.1707,2.7439,5700000,3.4756,2.6514,452100000,1198697940,1.827283445,60.69090909,36.32585204,27.62430939,96.55172414,120.2200012,37.13999939,1.71757233,1.116253342
61,7.121263717,-9.61940994,-258.268989,-9800000,152400000,41300000,27.0997,-6.4304,-8800000,-5.7743,1.65,369700000,610005000,1.00066437,0.960655938,51.79282869,25.15151515,51.72413793,118.1900024,36.72999954,-2.563891618,-8.243815483
62,1.587783457,-6.55597276,-70.57331572,4700000,138300000,46500000,33.6226,3.3984,5600000,4.0492,1.6343,557000000,910305100,1.645526211,20.79976347,70.32019704,69.7080292,143.4782609,121.3000031,40.02999878,8.740474884,14.30610581
63,17.72176096,38.60843409,554.6177793,18400000,141600000,55000000,38.8418,12.9944,18900000,13.3475,1.3529,451100000,610293190,1.077495039,-53.80386533,96.12188366,118.2539683,472.7272727,111.5500031,35.02000046,-2.209166871,-6.488652218
64,19.87745342,15.5224836,-149.9309154,2600000,120300000,36200000,30.0914,2.1613,2900000,2.4106,2.9286,454800000,1331927280,2.767928678,-19.16420547,90.34810127,74.87922705,-12.12121212,114.0699997,37.45000076,0.955838438,4.259472918
65,23.63121266,19.12257291,-354.9537649,-6400000,100400000,33000000,32.8685,-6.3745,-5800000,-5.7769,3.6229,359000000,1300621100,3.238598357,-30.9081547,80.2513465,70.98445596,141.6666667,112.9899979,35.91999817,1.591437353,-1.911525897
66,12.44148362,9.438517017,-31.24432334,1500000,81200000,27400000,33.7438,1.8473,2300000,2.8325,5.2436,450000000,2359620000,7.264839901,25.8967587,79.6460177,68.09815951,-200,111.2200012,36.61999893,10.68869178,11.23937111
67,14.26717521,20.0672726,-39.4944129,2900000,72200000,25200000,34.903,4.0166,3300000,4.5706,4.165,440400000,1834266000,6.351336565,124.6978852,77.3955774,76.22377622,-213.7931034,100.4800034,32.91999817,2.300959182,9.151188115
68,13.50482315,8.900319539,-220.7476222,2800000,63200000,20700000,32.7532,4.4304,3300000,5.2215,1.8536,431400000,799643040,3.163144937,13.8155471,73.62637363,54.47761194,-125.1908397,98.22000122,30.15999985,15.0790896,17.81249765
69,23.19421085,17.72639692,95.29157667,-2800000,55700000,19300000,34.6499,-5.0269,-2400000,-4.3088,1.6286,318300000,518383380,2.326675853,80.53430883,82.62295082,72.32142857,-11.11111111,85.34999847,25.60000038,-3.000340327,4.319476065
70,10.94252535,13.32466857,36.57817109,-2700000,45200000,16300000,36.0619,-5.9735,-2300000,-5.0885,0.9021,311100000,280643310,1.552230697,40.64546305,109.2592593,103.75,-48.88888889,87.98999786,24.54000092,7.304875444,16.46891918
71,0,0,0,-3400000,40700000,14300000,35.1351,-8.3538,-2900000,-7.1253,0.6414,306900000,196845660,1.209125676,-29.84797113,115.3439153,146.5517241,-48.21428571,82,21.06999969,-17.32204099,-18.86792356
72,0,0,0,-2200000,36400000,13400000,36.8132,-6.044,-13100000,-35.989,0.9143,302200000,276301460,1.897674863,0,97.82608696,282.8571429,63.75,99.18000031,25.96999931,-13.17517518,-27.45810093
